
. Module name, LUTS, REGISTERS, SYNC RAMS, DSP48
. wujian100_open_top, 27294, 13387, 64, 1
.	. PAD_DIG_IO, 1, 0, 0, 0
.	. PAD_DIG_IO_32, 1, 0, 0, 0
.	. PAD_DIG_IO_33, 1, 0, 0, 0
.	. PAD_DIG_IO_34, 1, 0, 0, 0
.	. PAD_DIG_IO_35, 1, 0, 0, 0
.	. PAD_DIG_IO_36, 1, 0, 0, 0
.	. PAD_DIG_IO_37, 1, 0, 0, 0
.	. PAD_DIG_IO_41, 1, 0, 0, 0
.	. PAD_DIG_IO_45, 1, 0, 0, 0
.	. PAD_DIG_IO_49, 1, 0, 0, 0
.	. aou_top, 376, 513, 0, 0
.	.	. gpio0_sec_top, 317, 353, 0, 0
.	.	.	. gpio0, 317, 353, 0, 0
.	.	.	.	. gpio_top, 317, 353, 0, 0
.	.	.	.	.	. gpio_apbif, 113, 225, 0, 0
.	.	.	.	.	. gpio_ctrl, 204, 128, 0, 0
.	.	. pmu_dummy_top, 1, 0, 0, 0
.	.	. rtc0_sec_top, 58, 160, 0, 0
.	.	.	. rtc_aou_top, 48, 89, 0, 0
.	.	.	.	. rtc_aou_apbif, 1, 56, 0, 0
.	.	.	.	. rtc_clk_div, 0, 0, 0, 0
.	.	.	.	.	. keepbuf_wujian100_open_top_wrapper, 0, 0, 0, 0
.	.	.	.	.	. keepbuf_wujian100_open_top_wrapper_0, 0, 0, 0, 0
.	.	.	.	. rtc_cnt, 34, 32, 0, 0
.	.	.	.	. rtc_ig, 13, 1, 0, 0
.	.	.	. rtc_pdu_top, 10, 71, 0, 0
.	.	.	.	. rtc_cdr_sync, 0, 32, 0, 0
.	.	.	.	. rtc_clr_sync, 1, 5, 0, 0
.	.	.	.	. rtc_pdu_apbif, 9, 34, 0, 0
.	. core_top, 5375, 1796, 0, 1
.	.	. E902_20191018, 5375, 1796, 0, 1
.	.	.	. cr_core_top, 4129, 1066, 0, 0
.	.	.	.	. cr_bmu_top, 113, 5, 0, 0
.	.	.	.	.	. cr_bmu_dbus_if, 73, 3, 0, 0
.	.	.	.	.	. cr_bmu_ibus_if, 40, 2, 0, 0
.	.	.	.	. cr_core, 3854, 1048, 0, 0
.	.	.	.	.	. cr_cp0_top, 592, 254, 0, 0
.	.	.	.	.	.	. cr_cp0_iui, 304, 0, 0, 0
.	.	.	.	.	.	. cr_cp0_lpmd, 12, 3, 0, 0
.	.	.	.	.	.	. cr_cp0_oreg, 235, 221, 0, 0
.	.	.	.	.	.	. cr_cp0_status, 41, 30, 0, 0
.	.	.	.	.	. cr_ifu_top, 401, 155, 0, 0
.	.	.	.	.	.	. cr_ifu_ibuf, 316, 120, 0, 0
.	.	.	.	.	.	.	. cr_ifu_ibuf_entry, 20, 18, 0, 0
.	.	.	.	.	.	.	. cr_ifu_ibuf_entry_5, 21, 18, 0, 0
.	.	.	.	.	.	.	. cr_ifu_ibuf_entry_6, 20, 18, 0, 0
.	.	.	.	.	.	.	. cr_ifu_ibuf_entry_7, 20, 18, 0, 0
.	.	.	.	.	.	.	. cr_ifu_ibuf_entry_8, 23, 18, 0, 0
.	.	.	.	.	.	.	. cr_ifu_ibuf_entry_9, 21, 18, 0, 0
.	.	.	.	.	.	. cr_ifu_ibusif, 78, 34, 0, 0
.	.	.	.	.	.	. cr_ifu_ifctrl, 6, 1, 0, 0
.	.	.	.	.	.	. cr_ifu_ifdp, 1, 0, 0, 0
.	.	.	.	.	. cr_iu_top, 2555, 601, 0, 0
.	.	.	.	.	.	. cr_iu_alu, 464, 0, 0, 0
.	.	.	.	.	.	. cr_iu_branch, 143, 0, 0, 0
.	.	.	.	.	.	. cr_iu_ctrl, 13, 0, 0, 0
.	.	.	.	.	.	. cr_iu_decd, 371, 0, 0, 0
.	.	.	.	.	.	. cr_iu_mad, 644, 39, 0, 0
.	.	.	.	.	.	. cr_iu_oper, 463, 480, 0, 0
.	.	.	.	.	.	.	. cr_iu_oper_gpr, 337, 480, 0, 0
.	.	.	.	.	.	.	.	. cr_iu_gated_clk_reg, 0, 32, 0, 0
.	.	.	.	.	.	.	.	. cr_iu_gated_clk_reg_0, 0, 32, 0, 0
.	.	.	.	.	.	.	.	. cr_iu_gated_clk_reg_1, 0, 32, 0, 0
.	.	.	.	.	.	.	.	. cr_iu_gated_clk_reg_10, 0, 32, 0, 0
.	.	.	.	.	.	.	.	. cr_iu_gated_clk_reg_11, 0, 32, 0, 0
.	.	.	.	.	.	.	.	. cr_iu_gated_clk_reg_12, 0, 32, 0, 0
.	.	.	.	.	.	.	.	. cr_iu_gated_clk_reg_2, 0, 32, 0, 0
.	.	.	.	.	.	.	.	. cr_iu_gated_clk_reg_3, 0, 32, 0, 0
.	.	.	.	.	.	.	.	. cr_iu_gated_clk_reg_4, 0, 32, 0, 0
.	.	.	.	.	.	.	.	. cr_iu_gated_clk_reg_5, 0, 32, 0, 0
.	.	.	.	.	.	.	.	. cr_iu_gated_clk_reg_6, 0, 32, 0, 0
.	.	.	.	.	.	.	.	. cr_iu_gated_clk_reg_7, 0, 32, 0, 0
.	.	.	.	.	.	.	.	. cr_iu_gated_clk_reg_8, 0, 32, 0, 0
.	.	.	.	.	.	.	.	. cr_iu_gated_clk_reg_9, 0, 32, 0, 0
.	.	.	.	.	.	.	.	. cr_iu_gated_clk_reg_timing, 0, 32, 0, 0
.	.	.	.	.	.	. cr_iu_pcgen, 178, 33, 0, 0
.	.	.	.	.	.	. cr_iu_rbus, 78, 0, 0, 0
.	.	.	.	.	.	. cr_iu_retire, 67, 6, 0, 0
.	.	.	.	.	.	. cr_iu_special, 2, 0, 0, 0
.	.	.	.	.	.	. cr_iu_vector, 19, 3, 0, 0
.	.	.	.	.	.	. cr_iu_wb, 113, 40, 0, 0
.	.	.	.	.	. cr_lsu_top, 306, 38, 0, 0
.	.	.	.	.	.	. cr_lsu_ctrl, 14, 1, 0, 0
.	.	.	.	.	.	. cr_lsu_dp, 292, 37, 0, 0
.	.	.	.	. cr_iahbl_top, 83, 6, 0, 0
.	.	.	.	.	. cr_ahbl_if_1, 8, 4, 0, 0
.	.	.	.	.	. cr_ahbl_req_arb_0, 43, 2, 0, 0
.	.	.	.	. cr_sahbl_top, 79, 6, 0, 0
.	.	.	.	.	. cr_ahbl_if_0, 7, 4, 0, 0
.	.	.	.	.	. cr_ahbl_req_arb, 72, 2, 0, 0
.	.	.	.	. cr_sys_io, 0, 1, 0, 0
.	.	.	. cr_had_top, 571, 363, 0, 0
.	.	.	.	. A15, 26, 2, 0, 0
.	.	.	.	. A15_2, 25, 2, 0, 0
.	.	.	.	. A15_3, 27, 2, 0, 0
.	.	.	.	. A1864d, 72, 68, 0, 0
.	.	.	.	.	. A10a, 0, 4, 0, 0
.	.	.	.	.	. A10a_2, 0, 4, 0, 0
